name,fk_zipcode_id
Al ‘Ayzarīyah,705
Fosca,768
Fortios,2
Batanamang,624
Avlónas,384
Portela,54
Uherský Ostroh,712
Zakan-Yurt,452
Si Bun Rueang,316
Qianshan,813
Borås,663
Bang Krathum,791
Kovylkino,966
San José Poaquil,693
Vilar do Monte,322
Shchukino,179
Beiqijia,238
Lukhovka,760
Ualog,658
Kosh-Agach,304
Covão da Carvalha,134
Rentung,958
Houten,417
Bunirasa,195
Starobaltachevo,895
Järfälla,955
Herval,443
Longsheng,208
Duping,554
Fucheng,334
Damulog,590
La Esperanza,305
Selemadeg Kelod,20
Xinhua,619
Rio Covo ( Santa Eulália ),126
Pampierstad,815
Batou,146
Anning,986
Venilale,665
‘Alīābād-e Katūl,992
Sumberrojokrajan,831
Jemielno,128
Xinfeng,54
Caringin,688
San Agustin,212
Pérama,941
Ngepoh Kidul,893
Muff,750
Umi,393
Saint Louis,581
Baoxing,457
Oeiras,672
Svorónos,11
Chipata,799
Kisanga,586
Tianhe,134
Benito Juarez,759
Ambatolampy,575
Hoxtolgay,376
Ifon,318
Shanghu,628
Mosfilotí,942
Göteborg,317
Senangkhanikhom,86
Madison,242
Sekararum,729
Hengshitang,841
Cibenda,7
Rauco,952
Longford,807
Xianning,746
Samburat,336
Jianggao,341
Weiyuan,44
Varadero,155
Juvisy-sur-Orge,491
Muramvya,340
Bumirejo,321
Songjianghe,40
Lazi,839
Saint-Denis,897
Padaan,320
Diavatós,538
Saint-Constant,404
Lepanto,452
Sidi Bouzid,205
Changyuan,575
Batanghari,720
Xiaocun,837
Stockholm,562
Murovanoye,118
Wenfu,224
Bilüü,673
Santa Monica,937
Bondoboghila,822
São Pedro,462
Tanakbeak Daye,728
Apopa,750
Cidadap,894
Varge Mondar,734
Uppsala,97
Barranco de Loba,927
Bununu Dass,534
Luba,585
Krajan Gajihan,907
Pompéu,316
Yangju,859
Permas,861
Sambopinggir,883
Jaworze,194
Huzhuang,575
Kharabali,472
Puno,59
Corrego Grande,273
Margahayukencana,705
Citampian,752
Jargalant,399
Dortmund,665
Kadusirung Hilir,408
Kamalaputi,868
Lingcheng,442
Czarna Dąbrówka,745
Kepel,920
Char Bhadrāsan,168
Kandava,913
Jiucaizhuang,574
Kolomyya,586
Knjazevac,85
Chengnan,616
Tanjung Kidul,692
Soissons,193
Fauske,536
Maoping,367
Dolgoderevenskoye,168
Skórcz,450
Florencio Varela,858
Bayantal,88
North Cowichan,950
Bakıxanov,40
Longchiqiao,279
Dallas,876
Riosucio,591
Taha Man Zu,829
Luojiaping,802
Göteborg,106
Talovyy,755
Kýthnos,187
Ganjiang,987
Álimos,139
Xiaruyue,754
Nansha,788
Dembī Dolo,867
Ketara,358
Dengfeng,347
Tigpalay,76
Kiukasen,541
Rio Brilhante,425
Hongyang,607
Independencia,205
Daishan,489
Chebba,624
Dabai,665
Chur,1000
Ban Phaeo,599
Inta,215
Parajara,884
Jingling,405
Virginia,600
Qingxi,566
Hanchang,716
Galis Dua,374
Manoel Urbano,118
Kangmei,40
Courbevoie,639
Baghlān,86
Bangxi,741
Shīrvān,659
Sergeyevka,921
Créteil,509
Wanlongshan,960
Tekes,567
Shangdundu,442
Moita,232
Fangbu,455
Yajiwa,595
Stockholm,190
Tajerouine,825
Fresno,400
Sop Moei,846
Baryshevo,853
Huji,401
Privolzhsk,96
Luxia,586
Ganzi,288
Mnogoudobnoye,625
Ngundaan,757
Lagoa do Itaenga,930
Luoshui,723
Oripää,887
Yarabamba,441
Chīchāwatni,87
Mbalmayo,545
Cruzília,237
Bambakashat,465
Agualva,751
Liangwa,343
Hot,841
Kuty,932
Wojsławice,8
Rano,363
Guajiasi,519
Gimbi,79
Rentian,856
Punta del Este,492
Jingu,703
Lauro de Freitas,699
Gaojiabu,501
Manzherok,621
Ülken,111
Bazi,2
Río Cauto,670
Lingyuan,435
Chengxi,600
Ticllos,400
Siekierczyn,262
San Roque,301
Gushi,649
Mujur Satu,378
Talalora,935
Penaraga,606
Puncaksari,909
Lodwar,400
Ceres,828
Krebet,342
Yaizu,839
Xindian,238
Birmingham,8
Khokhryaki,379
Phú Mỹ,560
Paris 12,350
Pucheng,270
Tall Salḩab,646
Gaocheng,140
Koni-Djodjo,622
Luoqiao,872
Ilangay,481
Rimpeso,743
Tintina,187
Surin,61
Witihama,886
Limulan,440
Independencia,135
Penteado,916
Aizhai,414
Alor Setar,985
Palopo,941
Awsīm,762
Altavista,791
Arlington,429
Shcherbinka,770
Puning,817
Sampaloc,502
Maketu,677
Taobei,311
Boden,938
Zhendong,884
Wonorejo,973
Buçimas,697
